File Name,Size (KB),Type,Modified Time,Path
exclude,0.23,,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\info\exclude
average_time.png,11.68,.png,2025-05-27 16:55:28.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\assets\average_time.png
correlation_heatmap.png,28.14,.png,2025-05-27 16:55:28.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\assets\correlation_heatmap.png
mood_trend.png,18.02,.png,2025-05-27 16:55:26.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\assets\mood_trend.png
stacked_time.png,22.36,.png,2025-05-27 16:55:28.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\assets\stacked_time.png
study_mood_bubble.png,22.48,.png,2025-05-27 16:55:28.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\assets\study_mood_bubble.png
daily_logs.csv,0.16,.csv,2025-05-28 16:47:41.740908,C:\Users\jamad\OneDrive\Desktop\my digital life twin\data\daily_logs.csv
logs.csv,10190.07,.csv,2025-05-27 16:38:30.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\data\logs.csv
db_connect.py,0.22,.py,2025-05-27 16:37:28.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\utils\db_connect.py
db_creation.py,0.94,.py,2025-05-27 16:37:16.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\utils\db_creation.py
db_connect.cpython-311.pyc,0.48,.pyc,2025-05-27 16:49:30.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\utils\__pycache__\db_connect.cpython-311.pyc
db_connect.cpython-312.pyc,0.46,.pyc,2025-05-28 16:47:01.832904,C:\Users\jamad\OneDrive\Desktop\my digital life twin\utils\__pycache__\db_connect.cpython-312.pyc
db_creation.cpython-311.pyc,1.7,.pyc,2025-05-27 16:49:30.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\utils\__pycache__\db_creation.cpython-311.pyc
db_creation.cpython-312.pyc,1.5,.pyc,2025-05-28 16:47:01.856338,C:\Users\jamad\OneDrive\Desktop\my digital life twin\utils\__pycache__\db_creation.cpython-312.pyc
dashboard.cpython-311.pyc,6.24,.pyc,2025-05-27 16:53:04.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\__pycache__\dashboard.cpython-311.pyc
dashboard.cpython-312.pyc,5.41,.pyc,2025-05-28 16:46:57.309410,C:\Users\jamad\OneDrive\Desktop\my digital life twin\__pycache__\dashboard.cpython-312.pyc
habit_logger.cpython-311.pyc,2.79,.pyc,2025-05-27 16:49:30.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\__pycache__\habit_logger.cpython-311.pyc
habit_logger.cpython-312.pyc,2.3,.pyc,2025-05-28 16:47:01.853888,C:\Users\jamad\OneDrive\Desktop\my digital life twin\__pycache__\habit_logger.cpython-312.pyc
system_scanner.cpython-311.pyc,1.96,.pyc,2025-05-27 16:49:30.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\__pycache__\system_scanner.cpython-311.pyc
system_scanner.cpython-312.pyc,1.79,.pyc,2025-05-28 16:47:01.858682,C:\Users\jamad\OneDrive\Desktop\my digital life twin\__pycache__\system_scanner.cpython-312.pyc
